2026-06-18 08:59:27 | INFO     | app.middleware.pdf_parse_middleware:164 | 调用中间件(PDFParseMiddleware)，处理前的消息数量: 1
2026-06-18 08:59:29 | INFO     | app.middleware.pdf_parse_middleware:164 | 调用中间件(PDFParseMiddleware)，处理前的消息数量: 3
2026-06-18 09:27:35 | INFO     | app.middleware.pdf_parse_middleware:164 | 调用中间件(PDFParseMiddleware)，处理前的消息数量: 1
2026-06-18 09:27:36 | INFO     | app.middleware.pdf_parse_middleware:164 | 调用中间件(PDFParseMiddleware)，处理前的消息数量: 3
2026-06-18 09:46:08 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 1
2026-06-18 09:49:02 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 1
2026-06-18 09:50:05 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 3
2026-06-18 10:09:56 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 4
2026-06-18 10:14:25 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 1
2026-06-18 10:16:41 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 5
2026-06-18 10:20:54 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 1
2026-06-18 10:22:15 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 1
2026-06-18 10:23:48 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 1
2026-06-18 10:23:49 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 3
2026-06-18 10:26:00 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 1
2026-06-18 10:27:08 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 1
2026-06-18 10:27:09 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 3
2026-06-18 10:35:13 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 1
2026-06-18 10:35:19 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 3
2026-06-18 10:35:20 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 5
2026-06-18 10:57:31 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 1
2026-06-18 10:57:32 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 3
2026-06-18 10:59:11 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 1
2026-06-18 10:59:12 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 3
2026-06-18 10:59:31 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 5
2026-06-18 11:00:47 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 7
2026-06-18 11:16:27 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 1
2026-06-18 11:16:28 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 3
2026-06-18 11:19:03 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 1
2026-06-18 11:19:21 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 3
2026-06-18 11:19:40 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 1
2026-06-18 11:20:20 | INFO     | app.middleware.pdf_parse_middleware:60 | 调用中间件(PDFParseMiddleware)异步，处理前的消息数量: 1
